audioset_index,audioset_mid,model_index,model_mid
0,/m/09x0r,20,/m/09x0r
1,/m/05zppz,515,/m/05zppz
2,/m/02zsn,522,/m/02zsn
3,/m/0ytgt,429,/m/0ytgt
4,/m/01h8n0,404,/m/01h8n0
5,/m/02qldy,520,/m/02qldy
6,/m/0261r1,284,/m/0261r1
7,/m/0brhx,151,/m/0brhx
8,/m/07p6fty,344,/m/07p6fty
9,/m/07q4ntr,18,/m/07q4ntr
10,/m/07rwj3x,19,/m/07rwj3x
11,/m/07sr1lc,50,/m/07sr1lc
12,/m/04gy_2,334,/m/04gy_2
13,/t/dd00135,433,/t/dd00135
14,/m/03qc9zr,34,/m/03qc9zr
15,/m/02rtxlg,413,/m/02rtxlg
16,/m/01j3sz,472,/m/01j3sz
17,/t/dd00001,473,/t/dd00001
18,/m/07r660_,244,/m/07r660_
19,/m/07s04w4,155,/m/07s04w4
20,/m/07sq110,245,/m/07sq110
21,/m/07rgt08,242,/m/07rgt08
22,/m/0463cq4,498,/m/0463cq4
23,/t/dd00002,395,/t/dd00002
24,/m/07qz6j3,81,/m/07qz6j3
25,/m/07qw_06,431,/m/07qw_06
26,/m/07plz5l,62,/m/07plz5l
27,/m/015lz1,49,/m/015lz1
28,/m/0l14jd,290,/m/0l14jd
29,/m/01swy6,443,/m/01swy6
30,/m/02bk07,265,/m/02bk07
31,/m/01c194,411,/m/01c194
32,/t/dd00003,64,/t/dd00003
33,/t/dd00004,191,/t/dd00004
34,/t/dd00005,320,/t/dd00005
35,/t/dd00006,438,/t/dd00006
36,/m/06bxc,493,/m/06bxc
37,/m/02fxyj,430,/m/02fxyj
38,/m/07s2xch,410,/m/07s2xch
39,/m/07r4k75,323,/m/07r4k75
40,/m/01w250,393,/m/01w250
41,/m/0lyf6,310,/m/0lyf6
42,/m/07mzm6,285,/m/07mzm6
43,/m/01d3sd,477,/m/01d3sd
44,/m/07s0dtb,466,/m/07s0dtb
45,/m/07pyy8b,158,/m/07pyy8b
46,/m/07q0yl5,170,/m/07q0yl5
47,/m/01b_21,156,/m/01b_21
48,/m/0dl9sf8,141,/m/0dl9sf8
49,/m/01hsr_,213,/m/01hsr_
50,/m/07ppn3j,526,/m/07ppn3j
51,/m/06h7j,405,/m/06h7j
52,/m/07qv_x_,391,/m/07qv_x_
53,/m/07pbtc8,185,/m/07pbtc8
54,/m/03cczk,357,/m/03cczk
55,/m/07pdhp0,491,/m/07pdhp0
56,/m/0939n_,383,/m/0939n_
57,/m/01g90h,456,/m/01g90h
58,/m/03q5_w,122,/m/03q5_w
59,/m/02p3nc,506,/m/02p3nc
60,/m/02_nn,134,/m/02_nn
61,/m/0k65p,470,/m/0k65p
62,/m/025_jnm,90,/m/025_jnm
63,/m/0l15bq,449,/m/0l15bq
64,/m/01jg02,86,/m/01jg02
65,/m/01jg1z,234,/m/01jg1z
66,/m/053hz1,485,/m/053hz1
67,/m/028ght,483,/m/028ght
68,/m/07rkbfh,94,/m/07rkbfh
69,/m/03qtwd,198,/m/03qtwd
70,/m/07qfr4h,199,/m/07qfr4h
71,/t/dd00013,271,/t/dd00013
72,/m/0jbk,61,/m/0jbk
73,/m/068hy,148,/m/068hy
74,/m/0bt9lr,149,/m/0bt9lr
75,/m/05tny_,339,/m/05tny_
76,/m/07r_k2n,487,/m/07r_k2n
77,/m/07qf0zm,480,/m/07qf0zm
78,/m/07rc7d9,488,/m/07rc7d9
79,/m/0ghcn6,400,/m/0ghcn6
80,/t/dd00136,150,/t/dd00136
81,/m/01yrx,335,/m/01yrx
82,/m/02yds9,221,/m/02yds9
83,/m/07qrkrw,336,/m/07qrkrw
84,/m/07rjwbb,1,/m/07rjwbb
85,/m/07r81j2,277,/m/07r81j2
86,/m/0ch8v,60,/m/0ch8v
87,/m/03k3r,308,/m/03k3r
88,/m/07rv9rh,186,/m/07rv9rh
89,/m/07q5rw0,287,/m/07q5rw0
90,/m/01xq0k1,222,/m/01xq0k1
91,/m/07rpkh9,223,/m/07rpkh9
92,/m/0239kh,40,/m/0239kh
93,/m/068zj,382,/m/068zj
94,/t/dd00018,181,/t/dd00018
95,/m/03fwl,59,/m/03fwl
96,/m/07q0h5t,268,/m/07q0h5t
97,/m/07bgp,267,/m/07bgp
98,/m/025rv6n,162,/m/025rv6n
99,/m/09b5t,164,/m/09b5t
100,/m/07st89h,163,/m/07st89h
101,/m/07qn5dc,427,/m/07qn5dc
102,/m/01rd7k,348,/m/01rd7k
103,/m/07svc2k,349,/m/07svc2k
104,/m/09ddx,299,/m/09ddx
105,/m/07qdb04,423,/m/07qdb04
106,/m/0dbvp,300,/m/0dbvp
107,/m/07qwf61,321,/m/07qwf61
108,/m/01280g,371,/m/01280g
109,/m/0cdnk,458,/m/0cdnk
110,/m/04cvmfc,257,/m/04cvmfc
111,/m/015p6,171,/m/015p6
112,/m/020bb7,139,/m/020bb7
113,/m/07pggtn,172,/m/07pggtn
114,/m/07sx8x_,478,/m/07sx8x_
115,/m/0h0rv,370,/m/0h0rv
116,/m/07r_25d,369,/m/07r_25d
117,/m/04s8yn,216,/m/04s8yn
118,/m/07r5c2p,217,/m/07r5c2p
119,/m/09d5_,43,/m/09d5_
120,/m/07r_80w,42,/m/07r_80w
121,/m/05_wcq,459,/m/05_wcq
122,/m/01z5f,157,/m/01z5f
123,/m/06hps,324,/m/06hps
124,/m/04rmv,251,/m/04rmv
125,/m/07r4gkf,255,/m/07r4gkf
126,/m/03vt0,142,/m/03vt0
127,/m/09xqv,143,/m/09xqv
128,/m/09f96,484,/m/09f96
129,/m/0h2mp,253,/m/0h2mp
130,/m/07pjwq1,462,/m/07pjwq1
131,/m/01h3n,252,/m/01h3n
132,/m/09ld4,154,/m/09ld4
133,/m/07st88b,153,/m/07st88b
134,/m/078jl,0,/m/078jl
135,/m/07qn4z3,236,/m/07qn4z3
136,/m/032n05,525,/m/032n05
137,/m/04rlf,2,/m/04rlf
138,/m/04szw,8,/m/04szw
139,/m/0fx80y,10,/m/0fx80y
140,/m/0342h,6,/m/0342h
141,/m/02sgy,5,/m/02sgy
142,/m/018vs,12,/m/018vs
143,/m/042v_gx,7,/m/042v_gx
144,/m/06w87,352,/m/06w87
145,/m/01glhc,202,/m/01glhc
146,/m/07s0s5r,374,/m/07s0s5r
147,/m/018j2,384,/m/018j2
148,/m/0jtg0,469,/m/0jtg0
149,/m/04rzd,288,/m/04rzd
150,/m/01bns_,439,/m/01bns_
151,/m/07xzm,24,/m/07xzm
152,/m/05148p4,379,/m/05148p4
153,/m/05r5c,380,/m/05r5c
154,/m/01s0ps,377,/m/01s0ps
155,/m/013y1f,174,/m/013y1f
156,/m/03xq_f,175,/m/03xq_f
157,/m/03gvt,378,/m/03gvt
158,/m/0l14qv,232,/m/0l14qv
159,/m/01v1d8,101,/m/01v1d8
160,/m/03q5t,421,/m/03q5t
161,/m/0l14md,33,/m/0l14md
162,/m/02hnl,28,/m/02hnl
163,/m/0cfdd,102,/m/0cfdd
164,/m/026t6,26,/m/026t6
165,/m/06rvn,31,/m/06rvn
